1	300
3	278
7	242
13	220
14	217
27	180
41	154
47	144
67	114
73	107
101	81
110	73
123	62
144	46
171	31
183	26
198	20
211	15
230	10
250	6
268	3
279	2
300	1
321	2
339	4
351	6
362	8
378	12
408	22
446	40
463	51
475	59
505	85
519	100
530	112
542	127
555	147
563	163
577	192
585	216
592	240
597	272
598	289
598	319
594	350
592	361
582	395
574	418
555	454
543	473
528	491
501	519
480	537
466	547
439	564
426	570
411	576
395	582
362	592
339	596
321	598
300	599
281	598
261	596
254	595
249	594
227	589
197	579
186	575
160	563
138	549
124	540
120	537
87	508
57	471
37	439
30	426
15	388
11	374
7	353
5	340
